No,text,score_ideal,
2294,newborn to toddler portable rocker is selling cheaper by 7% at inr 4199 today,,
2296,tomorrow's episode of  is going to be awesome and it's titled \flipkart pings it,,
2297,"how u cancel my order if your seller first delivered the item on the address now he cant od103715045879753700",,
2298,"yayayayaya finally thankyou soooo   much team, you're the best...  wshing you gr8 success for",,
2299,rt    congrats deserving,,
2300,finally got rid of in reboot loop.,,
2301,rt  wow congrats guy ;-),,
2302,rt   congrats,,
2303,"rt    congratulations....",,
2304,ty so much,,
2305,thanks,,
2307,haha thankyou,,
2309,"can you beat this, i just praised and here is one more signs of dumbness",,
2310,pray for me ;p,,
2311,thank you so much team love you....big  thanks  for making my day,,
2312,court adjourns hearing on plea against nikon's advisory notice,,
2313,rt    pray for me ;p,,
2314,your team is asking for registered email id after so much chaos again. exhausting,,
2315,"you played really well, m sure you'll win too...",,
2319,"rt    you played really well, m sure you'll win too...",,
2320,rt    haha thankyou,,
2321,"hope,believe,faith",,
2322,i invited all my friends played hard till the end wish to win plz disappoint me team,,
2324,rt how ping aims to redefine through the,,
2325,grea alexander retailers flipkart –,,
2327,congrats again,,
2330,after numerous mails i am still not able to get my edge royality redeemed flipkart coupon. kindly help,,
2331,"congrats.desperately wanna be the next one",,
2332,congratulations girl!,,
2334,do you have an invite for flipkart’s ping? please send me one.gy,,
2335,plz don't disappoint me team,,
2336,not sure why my order  od303743684285138100 is being canceled ?,,
2338,thank you    best of luck,,
2339,plz check my entries invited all my friend played till the end wish to win,,
2340,top executives are leaving startups like flipkart and ola. are they hungry to start their own ventures?,,
2341,congratulation,,
2342,a few days ago  was running a sale on - they were retailing for under 3k.,,
2343,ping  &amp; ping  for announcing the new shopping experience via waiting for an invite now..,,
2344,only 4 winners left don't break my heart plz,,
2345,_kumarprashanth rt how ping aims to redefine throu…,,
2346,niteshbhalothia rt how ping aims to redefine throu…,,
2349,i believe you will make my day tomorrow,,
2352,hoping to be 7th winner,,
2353,"hey, check out ping! - let’s shop together on ping by flipkart. here’s an invite",,
2354,"macha to disprove it i can state flipkart, oola and many more....we started late  &amp; soon v will take global space in products !!",,
2355,avaiable now  flipkart,,
2357,smashwords and flipkart to end distribution relati...,,
2358,flipkart launches ping for collaborative shopping experience,,
2359,the cutest bookmark from flipkart. a cutout comb for those that are too…,,
2362,"'atmospeher' &amp; 'ushered'   -&gt; discover flipkart offers, coupon codes at",,
2363,hey   looks like some spam stuff,,
2364,"shopping goes social with flipkart ping, dbs bank to soft launch its mobile banking platform in…",,
2365,rt hey   looks like some spam stuff,,
2366,rt we have winner congratulations  - we hope you enjoy your rs.5k  voucher! ht…,,
2367,rt   here's my happy winning,,
2370,"deals of the day – august 26, 2015",,
2371,"shopping goes social with flipkart ping, dbs bank to soft launch its mobile banking…",,
2372,min 50% off,,
2375,rt a bowl of is inspiration enough! to win flipkart vouchers.,,
2376,"i want to exchange my 500 rs bms voucher with flipkart or amazon voucher... pls help me",,
2377,"make a price comparison site and retrieve information directly from amazon, flipkart and snapdeal -- 3 by v3king",,
2378,good news!!!!!!! mountain peak books will be soon available on flipkart.,,
2379,rt tomorrow's episode of  is going to be awesome and it's titled \flipkart pings it,,
2380,how come the 16gb moto phone both colors out of stock for the last days ?  when do guys plan to have it available ?,,
2382,91% off newtronics back cover for htc desire 816 800 d816w (transparent black) price mrp,,
2383,is doing window shopping on flipkart,,
2384,cant find redmi 2 prime mobile. plz collect this phone.any chance to get?,,
2385,rt and on  you get a chance to win a monisha jaising luxe wrap when you order http…,,
2386,this one?,,
2387,rt this one?,,
2388,"once upon a time  used to deliver books in a cardboard box and cute bookmarks.now, no bookmarks &amp; old bubble wrap.bookstore missing",,
2389,"shopping goes social with flipkart ping, dbs bank to soft launch its mobile banking platform in india",,
2390,"i hope you guys are not planning \only mobile\\ like flipkart.\""""",,
2391,participate here,,
2393,0,,
2394,"after myntra, flipkart to dabble in social shopping! ping announced!",,
2395,od003736137582405000 is supposed to be delivered on 27th..not yet shipped! i am watching closely,,
2398,hey  nice way to upload my contacts to your servers. well played!,,
2399,"rt    participate here \dhvani bhanushali\\ contest and win flipkart 5k voucher""",,
2400,1,,
2401,"flipkart today announced ping, a new feature in its mobile app which will allows users to chat with their friends while shopping.",,
2402,wah!! congratulation,,
2405,do you know abt this one?,,
2966,"\shrinking interactions with the founders coupled with decreased influence on impactful decisions\\""2967""",,
3137,"of an invincible man who refused to give up, \god walks my dreams\\""3138""",,
3260,"join guys  take part in \dhvani bhanushali\\ &amp; get lucky flipkart vouchers worth rs.5000 to be won.""",,
3262,get pradeep an invite!,,
3267,rt the link to order on  right,,
3272,"join guys hifidigi take part in \dhvani bhanushali\\ &amp; get lucky flipkart vouchers worth rs.5000 to be won.""",,
3276,your flipkart guys are cheating,,
3283,"rt  tell us about the song &amp; win flipkart egv! tweet us using our tag \ dhvani bhanushali \\. go go go!""",,
3284,"join  &amp; play \dhvani bhanushali\\ &amp; get lucky flipkart vouchers worth rs.5000 to be won.""",,
3286,participate here guys,,
3293,want to shop online with your friends? has a solution. -,,
3294,"rt join guys  take part in \dhvani bhanushali\\ &amp; get lucky flipkart vouchers worth rs.5000 to be won.""",,
3298,3rd gen,,
3299,you flipkart guys cheated me i 'll prove ....what you are doing mr . ceo sachin,,
3304,dont you feel bad,,
3306,microsd card 16 gb 30 class 10 is selling cheaper at inr 401 today,,
3311,"rt shop\ping\\ redefined by""",,
3313,2,,
3314,btw had an interesting conversation with flipkart rep yesterday regarding ads. ads are only shown on android app as of now.,,
3315,top executives are leaving startups like flipkart. are they hungry to start their own ventures?,,
3317,flipkart ...y asking for trouble by joining hands with indian post.,,
3319,"if our tag \ dhvani bhanushali \\ starts trending in india we will increase the total amount of flipkart egv's too! rt\""""",,
3320,"rt if our tag \ dhvani bhanushali \\ starts trending in india we will increase the total amount of flipkart egv's too! rt\""""",,
3326,flipkart launches a new feature called 'ping' -  -,,
3327,"- prestige mini induction cooktop pic 1.0 rs. 1299, men’s clothing minimum 50% off – flipkart",,
3328,flipkart ping lets you go on an online shopping spree with your flipkart has… sps®,,
3329,lets rock,,
3336,"rt why top executives are leaving startups like flipkart, snapdeal, ola &amp; others - economic times\",,
3338,"ping by  from social shopping to bargaining,bill split,group buying. endless possibilities",,
3346,order 203718422057485600 puma running shoe not yet delivered. got the refund but surprised with no updates,,
3351,missed the k3 note sale on flipkart by 1 minute! — feeling down,,
3354,rt lets rock,,
3357,od003728820444273200 i received my moto g3 today but the promised airtel sim card was missing from the package. what do i do now?,,
3359,please get in touch with  in this regard.,,
3361,today's contest is live on our fb page. hop on now! egvs are up for grabs. rt,,
3362,"no they don't cheat,but their process is lame and some dumb irresponsible people in support center",,
3364,rt today's contest is live on our fb page. hop on now! egvs are up for grabs. …,,
3365,"hi,i hv placed some wrong product if i cancel my order thn i'll get my gift card money back or not??",,
3367,"are making online shopping more social, launching more here -",,
3370,"savemoneyindia prestige mini induction cooktop pic 1.0 rs. 1299, men’s clothing minimum 50% off – flipkart",,
3371,"prestige mini induction cooktop pic 1.0 rs. 1299, men's clothing minimum 50% off - flipkart",,
3372,more cheap service than telecom company i.e.    cc,,
3374,get extra 5% off on 2-in-1 laptops on purchase through debit cards,,
3376,wud luv to see this in india as well   amazon uk will waive delivery fees if you pick your order up,,
3377,"boy! is she mad not fair flipkart,not fair",,
3378,- i have a flush  - full house baby(5bn);  -ye lo royal flush..ping!,,
3379,"with $15 billion valuation and 330 employees, snapchat tops the list with highest valuation per headcount $48 million.flipkart about1 mil!!",,
3380,android one is selling cheaper at inr 5182 today,,
3382,expansion 3 tb external hard disk is selling cheaper by 4% at inr 7999 today,,
3385,when is the next open sale for k3 note in flipkart?,,
3386,give your pet best of what they deserve buy pet supplies on flipkart and get great discounts and deals on them,,
3387,"dhvani bhanushali is now trending in india! let's take it higher folks! keep tweeting &amp; win flipkart egv's! rt",,
3388,wedge mobile bluetooth standard keyboard is selling cheaper by 2% at inr 4190 today,,
3389,"rt dhvani bhanushali is now trending in india! let's take it higher folks! keep tweeting &amp; win flipkart egv's! rt",,
3402,pl send screen grab of the error message will take it up with,,
3403,flipkart ping lets you go on an online shopping spree with your flipkart ping lets you go on an onlin...,,
3404,canvas knight cameo a290 is selling cheaper at inr 7095 today,,
3406,to remove the names of  &amp;  from website advisory.,,
3408,congratulations  on winning the contest. inbox us with your email id to claim your flipkart voucher,,
3409,rt  to remove the names of  &amp;  from website advisory.,,
3416,rt congratulations  on winning the contest. inbox us with your email id to claim your flipkart voucher,,
3417,what about 10 weekly winners for flipkart vouchers .........,,
3418,&amp;  let d process of buying b simple dont make it complicated by having registrations,,
3419,haa yar.just a product feature web pe daal dete press release. khane ko bhi nhi mila dhang se,,
3421,50% off jbl t26c wired headphones price mrp,,
3422,"'jagatraj', 'tirpathi', 'payno' &amp; 'bora'   -&gt; discover flipkart offers, coupon codes at",,
3423,"'dismisses'   -&gt; discover flipkart offers, coupon codes at",,
3424,top executives are leaving startups like flipkart and ola. are they hungry to start their own senio...,,
3425,please check screenshot,,
3426,to withdraw suit against them following their submission.,,
3427,"aims to redefine e-commerce through the messenger, 40% online shopping in india happens through...",,
3428,flipkart likely to shut down website in september to follow app-only model,,
3431,"why top executives are leaving startups like flipkart. are they hungry to start their own ventures?post link",,
3432,is looking into it.will check with  &amp; get back on what's the issue.,,
3434,"rt why top executives are leaving startups like flipkart, snapdeal, ola &amp; others",,
3436,flipkart's is amazing service. just needs to be incorporated in the way it should. right now need an invite soon.,,
3437,why top executives are leaving firms like    &amp; others,,
3441,rt   is looking into it.will check with  &amp; get back on what's the issue.,,
3443,nexus 5 is selling cheaper by 3% at inr 26999 today,,
3444,flipkart rakhi offer get rs 250 e-gift voucher on purchase of rs 4000,,
3445,flipkart’s ping redefine e-commerce and enables social shopping through the,,
3446,91% off newtronics black back cover for htc desire price mrp,,
3448,nvidia gtx660 ti-dc2t-2gd5 2 gb gddr5 graphics card is selling cheaper at inr 24400 today,,
3449,- 76% off on star xxxl teardrop bean bag cover at flipkart,,
3452,a6000 plus is selling cheaper at inr 7000 today,,
3455,rt alibaba says its new artificial intelligence platform is china’s first  is building,,
3459,share store online - buy share products online at best price in india |,,
3460,congratsss,,
3463,congratssss,,
3464,large e-com firms will follow,,
3465,"won book for mehis email my phone no.- 8978741628",,
3466,"flipkart gift vouchers rs. 250 cashback on rs. 4000rs.3750.00",,
3467,eagle kichen pro roti maker is selling cheaper by 2% at inr 480 today,,
3468,swipe ultimate tablet is selling cheaper at inr 13990 today,,
3469,my  answer to how many days does it take to receive an order from chennai to allahabad through flipkart?,,
3470,flipkart introduces ping to enable social shopping,,
3471,"alcatel pop 8s tablet  rs 10,499 at flipkart – 3 launch offers",,
3472,aarushi (english) is selling cheaper at inr 189 today,,
3473,"just got off flipkart app, they must learn from jabong &amp; amazon! which counts as your fave app?",,
3475,"why top executives are leaving startups like flipkart, snapdeal, ola &amp; others?",,
3476,"amazon, crosswords, the vuca company in flipkart",,
3478,day by day flipkart is providing awesome sevices as well as offers,,
3479,xperia z ultra is selling cheaper at inr 13398 today,,
3481,fyi this is what an original controller looks like. it ships with a disc and not a printout.,,
3483,rt order all aboard from flipkart and you could win a monisha jaising luxe wrap. details,,
3484,shop,,
3489,flipkart day by day flipkart is providing awesome sevices as well as offers,,
3491,tp-link td-w8961nd 300mbps adsl2 wireless with modemrouter is selling cheaper at inr 1575 today,,
3493,usb 2.0 keyboard is selling cheaper at inr 2890 today,,
3499,flipkart gift vouchers rs. 250 cashback on rs. 4000,,
3500,"i guess he wud speak about delivery speed of flipkart bcz it is hillarious in itself.",,
3501,wanted to order your book. can't find it on flipkart,,
3502,sandisk sdhc 32 gb 48 class 10 ultra is selling cheaper at inr 796 today,,
3503,this wonderful tote bag from  wud be an apt gift for her to carry things.,,
3504,rt get hold of the octa-core processor loaded in today's flash sale,,
3505,rt mrs funnybones arrived today via  i was secretly hoping for a personalised copy alas!!!,,
4066,"\shrinking interactions with the founders coupled with decreased influence on impactful decisions\\""4067""",,
4237,"of an invincible man who refused to give up, \god walks my dreams\\""4238""",,
4606,rt take part in the contest and take home 2 flipkart exclusive smartphones. going live 12 noon tomorrow!,,
4609,sure!,,
4614,excited.. m in...,,
4615,photo frames starting at rs.699,,
4616,check this out on flipkart!,,
4617,"102cm (40) full hd tv just rs.23,990",,
4618,lets play.....,,
4619,rt    congrats again,,
4620,rt    congratulations girl!,,
4621,rt    congrats,,
4622,claims none of the web firms in the world were building apps with deep linking technology as its,,
4623,satya paul women party brown genuine leather  clutch is selling cheaper by 15% at inr 549 today,,
4624,when is the result of contest?,,
4626,"rt    congrats",,
4627,rt    congratssss,,
4628,rt rt shopping goes social with flipkart ping,,
4629,floral door curtains minimum 50% off,,
4631,"t-shirts, shirts &amp; more min 50% off",,
4632,rt check this out on flipkart!,,
4635,"rt before  flipkart after  bullock cart",,
4636,resorts to ‘ping’ to redefine through a messenger!,,
4637,floral window curtains minimum 50% off,,
4639,i'm .,,
4643,flipkart ping wants to make mobile shopping a more social experience,,
4644,got the flipkart ping invite. you can create groups too.,,
4646,wtf?! that has to be a typo - dear  please check! o_o,,
4648,that's great! really looking forward to it!,,
4649,- flat 50% off on home sofas -- flipkart -- rs. 14950.0 -- home décor &amp; furnishing,,
4650,"etretail | waitlist for flipkart ping already at over 100k, says punit soni",,
4652,xperia c3 is selling cheaper at inr 15794 today,,
4654,my  answer to what are the hidden charges for selling on snapdeal and flipkart?,,
4655,you got a chance to use it? i thought it wasn't live yet,,
4656,last few hours! get 5% instant on all orders at with debit cards -,,
4657,"oh wait, it is a typo - look at the price offered by the other seller - inr phew!  had me worried for a moment!",,
4659,i'll wake up early tomorrow  . so that i can play contest !!!,,
4662,groovy a5 in-the-ear wireless headset is selling cheaper at inr 1825 today,,
4663,buy home security cameras upto 70% off at starting price rs 539 via flipkart,,
4665,i sent you an invite. check it out,,
4667,rt the ping waitlist is now over a 100k!! working hard to send out more invites... let's keep going!,,
4668,and executives present used cars platform,,
4671,rt i ordered it from  and see from where they got it.,,
4674,my  answer to why isn't snapdeal's current evaluation promising enough compared to flipkart?,,
4675,best 25 online shopping website in india,,
4676,i'm in the contest! get ready with ur smartphone.. i recently got,,
4678,excited,,
4679,flipkart launches new feature 'ping',,
4682,"rt   -&gt; discover flipkart offers, coupon codes at",,
4683,"rt smashwords and flipkart to end distribution relationship - amazon scores victory. in your opinion, is this good... http…",,
4684,my favourite shopping site,,
4685,bricks and more - wheels is selling cheaper at inr 893 today,,
4687,ordered lenovo a6000 which was expected to deliver by but not yet reached... can i expect any explanation ?,,
4689,cooler master k281 mid tower cabinet is selling cheaper at inr 4350 today,,
4690,"rt  useful for those who are already using  , i was not interested initially but after  demo’ed, …",,
4692,when you are out delivering a cod worth 13k the least you can do is send a notification or call and inform!,,
4695,"'tayaar', 'agle', 'aurora' &amp; 'borealis'   -&gt; discover flipkart offers, coupon codes at",,
4696,"baggit, baggitworld   -&gt; discover flipkart offers, coupon codes at",,
4697,explorer a310e  74% off on and is not expected to reduce further in next couple of months.,,
4700,"i plcd an order frm flipkart, order no.\od203440014332970000\\ in parcel i rcvd""",,
4702,very excited team,,
4704,"can never beat the likes of flipkart or amazon's take a week to deliver a used product, and another week to refund!",,
4705,"my  answer to flipkart, snapdeal, paytm are not earning profits from their ecommerce part. what are their exit…",,
4706,my  answer to what is the minimum product requirement to sell on flipkart?,,
4710,3,,
4711,"flipkart has launched a new feature called ping, that allows users to chat with their friends while shopping within the mobile app.",,
4712,rt nikon india withdraws its consumer advisory against flipkart and snapdeal,,
4713,buy elixir arts matte laminated &amp; framed and posters available on flipkart.,,
4714,"smashwords and flipkart to end distribution relationship, by mark coker, including letter to jeff bezos",,
4715,"launching of ‘ flipkart one stop ’ flipkart ping for sellers , for efficient results even on…",,
4718,i am in!!,,
4719,i want to buy your one plus 2 invite got from ola for rs. flipkart amazon voucher. interested?,,
4721,"plcd an order frm flipkart, order no.\od203440014332970000\\ in parcel i rcvd brick.""",,
4725,pentax efina plus point &amp; shoot camera is selling cheaper at inr 3400 today,,
4727,biggest festival ever! are you up for it?,,
4730,"f&amp;d multimedia speaker at 50% off rs 1349  here  rs 2079 rs 2078",,
4731,court adjourns hearing on plea against nikon's flipkart advisory notice - ndtv,,
4732,"rt swipe elite(black, 16 gb, rs. 5999) features and price - flipkart | go shopping mart",,
4733,denver black.code edp - 50 ml (for men) is selling cheaper at inr 164 today,,
4734,"\flipkart deals &amp; discount coupons\\""4735""",,
4736,flipkart keeps its app-only plan on hold to assess how it will impact sales in big-ticket categories,,
4737,rt \in the us,,
4738,"rt whatever be your wish, go bananas!",,
4739,airport express base station wireless router is selling cheaper at inr 6479 today,,
4740,rt book msg the messenger dvd online at,,
4741,please look into it,,
4742,"received tiles in place ofsolution from flipkart against order no od203550289234107500. after having 20 days of fraud delivery, no solutio",,
4743,"rt flipkart blends social with shopping, launches ping for messaging",,
4744,"zte blade buzz v815w (white, 512 mb) is selling cheaper at inr 2399 today",,
4745,the zen drawing pack (hardcover) is selling cheaper at inr 1063 today,,
4748,"exxoninc premium flip cover case for micromax yureka yu yureka ao5510 mobile wvia",,
4749,kdp select is destroying the book industry.if u are kind enough to do so -please buy my ebooks from smashwords.,,
4751,"accidentally placed an order. can't cancel it, some issue with login. please cancel my order and confirm.od003745076715051700",,
4752,"evolve (games, ps4) is selling cheaper at inr 1595 today",,
4753,"vivaa printed georgette women's kaftan - buy white vivaa printed georgette womvia",,
4755,strontium microsd card 32 gb 70 class 10 nitro is selling cheaper at inr 799 today,,
4756,awesome!!,,
4757,"lol! thats finny... however, they showed a fantastic demo yesterday",,
4758,"xperia m (purple, 4 gb) is selling cheaper at inr 1490 today",,
4760,"rt flipkarts ping is here !share the screen,ask for expert feedback   htt…",,
4761,how to participate,,
4765,flipkart ping lets you go on an online shopping spree with your friends,,
4766,awesome,,
4767,"flipkart ping lets you chat with your friends in the app, shop for a product and discuss it with your friends,...",,
4770,"desire 500 dual sim (glacier blue, 4 gb) is selling cheaper at inr 13999 today",,
4772,most of the back covers and all the flip covers are out of stock.  sucks.,,
4773,"mini machines 5 pack (yellow, black) is selling cheaper at inr 629 today",,
4775,7.1 surround noise cancellation laptop headset (black) is selling cheaper at inr 500 today,,
4776,good jys will switch to android for flipkart ping,,
4777,"oneplus one (sandstone black, 64 gb) is selling cheaper at inr 21800 today",,
4778,"flyte mp3 store is more, but the the mix by you gave away for free is epic trippy music. belated thanks!",,
4779,sling urban photo 250 camera bag is selling cheaper at inr 3499 today,,
4780,no doubt 'that green shirt' demo was impressive,,
4781,flipkart’s new ‘f qck’ hyperlocal service to deliver order,,
4783,damn excited for it,,
4784,here’s an invite,,
4785,stag ninja fire table tennis racquet is selling cheaper at inr 1670 today,,
4786,winners of contest?,,
4787,waiting for it,,
4790,"jst bought moto g 3rd gen via  and delivery date is 29 aug, it's my birthday.. now it's like i'm getting a present frm myself.",,
4791,how to take part in this contest? contest,,
4793,anyone need invites for !! revert back. only 10 invites !!,,
4794,"rt  why top are leaving like flipkart, snapdeal, ola &amp; others",,
4798,the delivery cost of  is more than the cost of buying the book from,,
4800,plantronics voyager legend bluetooth headset is selling cheaper at inr 3999 today,,
4801,i don't want a refund i just want a replacement of a better quality product,,
5364,"\shrinking interactions with the founders coupled with decreased influence on impactful decisions\\""5365""",,
5535,"of an invincible man who refused to give up, \god walks my dreams\\""5536""",,
6032,"\flipkart deals &amp; discount coupons\\""6033""",,
6103,"'conferencing', 'cctns' &amp; 'fireproof'   -&gt; discover flipkart offers, coupon codes at",,
6104,rt    its a great start to inculcate social feature in flipkart app. great start,,
6105,flipkart launched a new in-app feature for real time chatting -,,
6106,rt received it yesterday. it's no longer working. great service,,
6109,if possible do on goodreads or if you bought it from amazon or flipkart.,,
6110,"why top executives are leaving startups like flipkart, ola and snapdeal",,
6113,"rt why top executives are leaving startups like flipkart, ola and snapdeal",,
6114,hp8309 hair straightener is selling cheaper at inr 1256 today,,
6116,nikon india withdraws its consumer advisory against flipkart and snapdeal,,
6117,on flipkart's humble beginnings and market expansion.,,
6118,"actually pretty impressed with flipkart ping. good job, folks.",,
6119,i am in,,
6120,funky half shade aviators..go grab them at,,
6125,universal car clip mobile holde is selling cheaper at inr 105 today,,
6127,"rt in the next flipkart pings it, paytm banks it &amp; china crashes it! awesome fun, insights with",,
6134,hi team i ordered a phone lenovo a6000 plus.. and i am using it.. but it problems comes out... it didn't work well..,,
6138,"for rs. at for more like this, do come to",,
6140,finally uber promo code worth 800rs is out! uber800free,,
6142,when will be moto g3 in stock again on flipkart.,,
6143,flipkart ping lets you go on an online shopping spree with your friends,,
6145,"nikon withdraws flipkart, snapdeal names from caution notice",,
6147,ordered mobile 3 times got defective products 3 times. what is the guarantee you give for future orders.,,
6148,smashwords and flipkart to end distribution relationship ? amazon scores victory,,
6150,ping looks like a great product from  looking forward to more innovation from the recently hired tech leaders,,
6151,pulse bluetooth speaker is selling cheaper at inr 6500 today,,
6153,"16gb for rs. at for more like this, do come to",,
6154,rt on flipkart's humble beginnings and market expansion.,,
6157,"'pragati', 'alison' &amp; 'parker'   -&gt; discover flipkart offers, coupon codes at",,
6158,"'virginia'   -&gt; discover flipkart offers, coupon codes at",,
6159,soon we will see exclusive flash sale of cars on,,
6160,"rt nikon withdraws flipkart, snapdeal names from caution notice",,
6161,"my entire khaandaan uses the same flipkart account, just to save money on  flipkart first. no use of",,
6162,level 2 elements resistance tube is selling cheaper at inr 1199 today,,
6163,good to see all sellers of jalandhar one platform against ekl. this will helpful for all and flipkart too.,,
6164,"the 'a' wordclick link to choose to buy the book from amazon, flipkart and many more.",,
6166,get fastrack white analog watch for women for rs. 402 - snapdeal,,
6171,flipkart ping work aahuthaa..?!,,
6175,"rt f&amp;d multimedia speaker at 50% off rs 1349  here  rs 2079 …",,
6176,online free flipkart dod samsung microsdhc 32 gb at 749,,
6177,send an invite?,,
6178,"rt pro et701 tablet at 41% off buy for rs 3499 on  here go",,
6180,flipkart vs amazon vs snapdeal affiliate marketing in india via,,
6181,all lies always takes customer for ride,,
6182,coolpix s9400 advanced point &amp; shoot camera is selling cheaper at inr 14900 today,,
6183,sent!,,
6185,rt just uninstalled flipkart app  change ur policy..otherwise we will flush u out like anything..,,
6186,rt focused on but no timeline to go,,
6187,luckily have recorded all the calls to catch your and,,
6189,minimum 50% off on pressure cookers &amp; pans - flipkart,,
6190,ray ban aviator sunglasses is selling cheaper at inr 5990 today,,
6192,"ships faulty product, replace with faulty product &amp; then want you to purchase a new phone to solve their problem",,
6193,eos 1200d kit (ef s18-55 is ii) dslr camera is selling cheaper at inr 22800 today,,
6194,rvgrocks rt focused on but no timeline to go flipkart …,,
6197,it is,,
6198,it's available vikramjit. check,,
6199,it is available right now. get at,,
6202,it is available with another flipkart advantage seller completely safe to buy!,,
6203,hey a happy soul  aham_bhram_asmi wanna get free iphone 6? kindly check my bi0. thx,,
6204,alpha a77vm (body with 18-135 mm lens) dslr camera is selling cheaper at inr 86890 today,,
6205,"my order deliverd at different address than mentioned.i ordered 3 quantity, on packet its written as 3 bt received only one.",,
6206,"unfortunately, their response is too cool &amp; efforts are not seen to rectify mistakes immediately",,
6207,"cant you resolve customers issue immediately?why it takes 10 min to connect call  &amp; need to wait 1 day fr problm solution",,
6208,lets see (kisme kitna he dun....) am also in.....,,
6209,rt below rs.20000,,
6210,flipkart's making shopping happening with this chat app,,
6212,"buy pop 8s  rs.10,499 from flipkartbuy",,
6213,2.1 multimedia speaker system explode is selling cheaper at inr 2498 today,,
6214,bought a motox 32gb from flipkart which was downgraded to 16gb while under repairs with motorola. no answers yet in 6 months.,,
6215,one flipkart .... i am in....this contest....,,
6216,"flipkart exclusive  alcatel pop 8s tablet (black, 8 gb,  rs 10499",,
6218,\why top executives are leaving startups like,,
6220,"interesting. why top executives are leaving startups like flipkart, snapdeal, ola &amp; others - the economic times",,
6221,vikeshdhyani flipkart's making shopping happening with this chat app …,,
6222,uber cab voucher for your flipkart voucher?,,
6224,giant  betting on,,
6225,buy xxxl bean bag covers for just rs 699 in flipkart,,
6226,giant flips the kart of  wins court battle,,
6227,it's logistics guys from who are repeatedly committing the same offence for prepaid orders from,,
6228,"giant flipkart betting on visenze forrester…",,
6229,"alcatel pop 8s tablet with voice calling (8 gb, for rs.10499 freebies  flipkart",,
6230,"flipkart women's kurta sale 60 % discount. offer page",,
6231,tag dzire wired mouse just for rs.119 only  flipkart (limited period offer),,
6233,"lee, levis, wrangler, pepe &amp; minimum 50% off on men's casual wear  flipkart",,
6234,"moto g 3rd gen comes with flipkart app preinstalled, and can't be removed.",,
6235,hitech microsdhc 16 gb class 10 premium for rs.379 only  flipkart (limited period offer),,
6238,flipkart rethinking its app-only strategy,,
6240,"hello flipkart! amazon expands 'prime now' service, offers alcohol delivery for first time",,
6242,sandisk cruzer blade 8 gb pendrive is selling cheaper at inr 218 today,,
6243,"rt flipkart, snapdeal, amazon, others dole out incentives to sellers",,
6244,flipkart adds social layer to its mobile app with ping | ndtv gadgets,,
6246,"forget flipkart, snapdeal &amp; amazon. goibibo, oyo rooms &amp; zo rooms r changing d way indians stayed at hotels.jai ho venture capitalist",,
6247,assassin's unity is selling cheaper by 4% at inr 890 today,,
6249,i have a amazon voucher.. i want to exchange it for voucher.. please help team,,
6250,flipkart has launched its new online shopping in-app feature. stay tuned for more online updates.,,
6254,amazon or flipkart... as they are popular here in india,,
6255,"launching alcatel pop 8s tablet priced  rs 10,499 in flipkart . get 500rs flipkart gift voucher free with this",,
6257,guys join &amp; win 2 smartphone,,
6258,rt flipkart has launched its new online shopping in-app feature. stay tuned for more online updates.,,
6259,when motog3 16gb addition will available (currently out of stock).... eagerly waiting for it.,,
6260,i3 3220 is selling cheaper at inr 7150 today,,
6262,flipkart keeps app plan on hold to assess how it will impact sales in big-ticket categories | et...,,
6264,"this \patel summelan\\ crowd in ahmedabad looks like a vc funded party at flipkart - lots of noise""",,
6266,read to win smartphone?,,
6269,"rt this \patel summelan\\ crowd in ahmedabad looks like a vc funded party at flipkart - lots of noise""",,
6270,rt ama  this 5th of sep at 3pm,,
6271,rt  read to win smartphone?,,
6274,ya i am in,,
6275,i want to win a smartphone.......,,
6276,please raise a return request from your flipkart account for further assistance. sorry for the inconvenience though.,,
6277,"baught redmi2prime frm on 14th aug15. mfg date sept2015,fooling ppl its made in india.manuals in chinese.",,
6278,flipkart android app is now available at repository.,,
6279,rt   this happens when u buy product on  plz sell product on,,
6280,rt  how the hell? how can you cancel an order after being shipped!!!! and for a silly reason.,,
6281,"rt  , kudos to you guys for moving at such a fast pace to become used or refurbished products are the on…",,
6282,"rt  use for all complaint's, i'm fighting for right against flipkart!",,
6283,rt  is  is,,
6284,"rt how  sell things....err, i mean ethics",,
6287,rt   u have not refunded my money back for the damaged good. its now a or a…,,
6288,congratulations for the the ping app sir. i had similar plans. sir would love to be an intern at flipkart and make a difference.,,
6290,"check this out on flipkart!the next and the best smartphone by samsung",,
6291,rt fucking sent my order after just one delivery attempt that too on a had to reorder &amp; wait fr another 3 da…,,
6292,i will cancel my order nd place it on desi,,
6294,*author news* smashwords and flipkart to end distribution relationship,,
6295,hey   how do sell a honor6 wth defected screen &amp; refuse to replace it! od203620748677700500 is the order fyi,,
6296,is our with me or everyone.. no single image is loading on flipkart app. on a decent 3g network.!!,,
6297,and guess what no return option on cc number.,,
6298,"nikon withdraws caution notice against flipkart, snapdeal - livemint",,
6301,"nikon withdraws caution notice against flipkart, snapdeal",,
6302,"that's another successful k3 note sale. all thanks to you guys. also, get ready for the open sale on sept 2",,
6303,"rt that's another successful k3 note sale. all thanks to you guys. also, get ready for the open sale on sept 2",,
6304,rt *author news* smashwords and flipkart to end distribution relationship,,
