No,text,Score_ideal
1099,in the capital of india! you have gotta check it out,
1100,beginning of a new journey to the new home in gurgaon looks fab!,
1101,chk out this new look gurgaon it's rockn in truesense,
1102,is a new place where young talents are inside !!,
1105,is the talk of town... nd its well deserved...,
1106,rt   a grand,
1107,rt thank you   team for the priority delivery in less than 24 hours of placing the order,
1109,"loved the 
it's their new office in delhi !",
1110,"a lovely workplace 
at gurgaon",
1111,"looking at their office decor, i hope even my home wud hv similar amazing concept of  class..",
1112,best created infrastructure with superior quality decor...,
1113,making a way for good future is finally done !!,
1114,"it's pointless to hold a man to anything he says while he's infatuated, tanked, or running for snapdeal office!",
1116,"guys a very happening place in the town! its is
without any doubt",
1117,a grand,
1118,rt rajiv mangla to take over as,
1121,"guys superb infrastructure &amp; beautiful interior one would love to have! 
   at its best.",
1122,"what a fun place is the  gurgaon office 
 is here..",
1123,very impressive interiors of the,
1124,buying on snapdeal is a smart choice. i was happy to get my product delivered very quickly.,
1125,new awesomeness is here,
1128,beautiful building and amazing creativity,
1130,ya bro seeing just now,
1131,rt i loved the new office what about you,
1133,have you seen the cool new  workplace?,
1134,is stunning. new place to do work in delhi ncr,
1135,is a gave a new choice for new joinees too....,
1136,"did you check out the 
now that's what makes it awesome!",
1138,is without a doubt the most heavenly work environment around campus,
1140,snapdeal's new office looks awesome!,
1143,i loved the new office what about you,
1144,sau taka aapki hai,
1145,"rt gym, spa, library all in",
1146,anyone would go crazy after seeing such heavenly office,
1147,a new office at peace place.,
1148,i want to work at please someone hire me and make my dream come true!,
1150,yay the largest online marketplace  has  at gurgaon.,
1151,the new gurgaon office of  is one of the coolest workplace ever!,
1152,wants to work here..great place..  good decorating..,
1155,"new office .. looking like taj...
see this",
1156,check out this....it's a perfect glittering ambience...,
1157,check out best environment in office.,
1158,rt must visit once this newly opened,
1159,eye catching and impressive interiors of the,
1161,the new  workplace looks really amazing! i wish i was their employee!,
1162,coolest workdesks i have ever seen..loved it,
1163,a worldclass gym at ! dude! i'm so dying to be there...,
1165,snapdeal shopping in one word - simple amazing have a nice customer service.,
1167,best &amp; eye-catching must say,
1168,welcoming employees with a music. now this something fun to work here,
1169,such a cool creative environment in office. looks fabulous !,
1170,this is the best workplace. who gonna want a leave on weekends. would love to work all 7 days,
1172,new office - refreshing walls!,
1173,very true  .. loved  it  to  the  core ...  bus laddu nai mile  khane ko,
1174,is indeed the dream destination for job seekers. submit my resume guys.,
1175,must say it is  the most amazing place to work in.,
1177,"snapdeal's new office looks awesome, i only have one question - can i join ?",
1178,has shuttle services to the closest metro station and other snapdeal offices in the city.,
1179,pl,
1180,new office - nicely designed!,
1181,love the classy decors,
1182,you are invited to checkout the new...,
1183,is a new state of the art office space to its employees .,
1184,who wouldn't want to be work a place like here,
1186,gteat news snapdeal with another office at capital,
1187,"gym, spa, library all in",
1188,"classy infrastructure and super interiors, great looks",
1189,applying in  need to utilize every one of these offices,
1190,is the place everyone wants to be a part of it.,
1192,snapdeal's new &amp; coolest office is up in,
1194,friends do check the new office of snapdeal,
1196,superb interior one would love to have in any workplace,
1197,equipped with the new n stylish infrastruture n recreation,
1198,now we also choose our dil ki deal offline in gurgaon,
1199,yes..,
1200,'s new office - the perfect place to work!,
1201,the nation is loving the,
1203,"we tried reaching you, but couldn't get through. however, reund has been initiated from our end. thanks! -kavya",
1204,"rt waited so long, with welcome mails and messages by snapdeal leaders, the excitement is on cloud nine.",
1205,all of us want to work at sanpdeal's new office,
1206,rt    checkout the new,
1208,a is one of the bestest offyc i have ever seen in pics,
1209,looks very cool creative environment in office.,
1210,cool city gurgow having the,
1211,the largest online marketplace  has all at gurgaon.,
1212,with it's new office  surely knows how to impress!,
1213,i will wait,
1214,- 46% off on kamala mart musical walker in snapdeal at lowest deal price,
1215,- 48% off on bajaj activity baby walker in snapdeal at lowest deal price,
1218,customer &amp; employee both are at priority for snapdeal ..loving d,
1220,in is an awesome opportunity for jobseekers,
1221,has made me go crazy.,
1222,every day is like a party in  's new office.,
1225,the wonderful city having,
1226,"when you see  's new office, you'll say \wish i had a workplace like that!\""""",
1228,my efficiency will definitely increase if i work in so cool place,
1229,snapdeal makes me want to shop more. like the quick delivery available on snapdeal.,
1230,"when you see  's new office, you'll surely say \wow!\""""",
1244,eye catching interiors of   amazing.,
1246,you are right bro  it is really a,
1247,the coolest team is in gurgow now,
1248,bro love the look of,
1249,"diligent employees, caring employers is what you get when you have a workplace like",
1251,"the gurgaon office 
of  is one of d best of d workplace .",
1252,i just loved the place...,
1253,awesomeness is visiting and spend some memorable time.,
1254,rt,
1255,"gym, spa, library all at one place...so awesome it is",
1256,definitely best place to work,
1257,kudos to you guys for such a faboulus office..,
1258,a brilliant ambiance to work,
1259,is the awesome workplace for any employee to work on !!,
1261,"wow.. snapdeal's new office looks amazing, i just hv one inquiry where and hw would i apply",
1262,"everyday will be awesome in the , everyone will enjoy to work",
1263,snapdeal the cheap and best online store,
1264,so now  is trending on top.,
1265,is seriously beyond awesome.,
1266,what did you say about the new office in delhi,
1267,who would like to be a part of,
1268,the gurgaon is the office i am looking for to work in,
1269,best work environment in is certainly the .,
1270,has the best looking office in town!,
1272,napdeal new office looks awesome!!,
1273,rt adobe's rajiv mangla to take over as snapdeal's cto,
1274,"even i want to join them, how we can ?",
1275,'award' best place to work goes to,
1277,most marvelous work environment in is certainly the !!,
1279,a very beautiful place for work in gurgaon.,
1284,people did you heard the news yet ?,
1285,infrastructure par excellence,
1286,snapdeal diaries,
1288,are you ready and excited to enter,
1291,one of the coolest place to work,
1295,"such a cool creative environment in office.
looks fabulous !",
1297,"yes, totally so!
great workplace",
1299,no one would like to make excuse for leave if someone have office like this,
1300,wohaa snapdeal having other office in gurgaow,
1301,the has close nearness to rapid metro station. simple to commute!,
1303,"the gurgaon office 
of  is one of d best of d workplace an employee dream off",
1312,loved the new world of snapdeal in gurgaon,
1320,wanna be the part of the grand,
1321,look at the amazing,
1322,gym spa &amp; library all at one place,
1323,"i am sure you guys dont need to float ur resumes in job portals like us, right?",
1324,what better deal than  to work in,
1325,"i always like new things in life, that is why i like the new office of snapdeal in gurgaon",
1328,"check out  
the is the best play to work",
1329,found shopping on snapdeal to be very good. love the wonderful offers,
1330,"is quirky,cool,unique and superb. a place which one would be happily ready to work.",
1331,"say 'hi' to the tweeps, awesomeness at it's best!",
1332,snapdeal is now in cool place .. check this out,
1333,decor that will improve d productivity of the employees n will give them the best ambiance,
1334,gurgaon is where the will function!   has bestowed sheer awesomeness upon,
1336,snapdeal is now in the capital of india,
1337,snapdeal makes me happy!!! i love the amazing offers available on snapdeal.,
1338,well spacious &amp; well decor,
1339,is growing &amp; now its in !! so grow with them,
1342,awesome place to work in !!  is absolutely awesome,
1343,i am already drafting my resignation letter &amp; preparing to work with them,
1344,hats off to you for building such a fabulous campus,
1345,who wouldn't want to be a part of this amazing workplace!!,
1346,amazing place to work in. i too wanna be a part of it,
1347,perfect place to work,
1348,"anyone would love to work in a place like this, great interiors and lighting",
1350,is a place for all the wannabe professionals n their dream place to wrk wid,
1351,super excited to join the new work place of   in delhi,
1352,i just  wanna apply as soon as possible its beautiful place to work,
1353,without any doubt its best place for work,
1355,now snapdeal will rock on entire market,
1356,love to work at who doesn’t get fascinated by a great workplace.,
1357,"new beginning!
with i'm really impressed.",
1358,snapdeal is the best. simply amazing to see great offers.,
1359,is surely the most awesome place to work in,
1360,"has luxury gym, spa and library!",
1361,a brand new workplace has been opened by   amazing check it out,
1362,wow great office in delhi,
1364,someone please tell me where i can find,
1365,"\ a office is successful if it's plesant to work in.\"" &amp; u proved it right""",
1366,the new place of comfort n job. the best place is here,
1367,best office in the capital !! snapdeal's new office.,
1368,really superb infrastructure &amp; interior one would love to work!,
1370,"elegant yet beautiful infrastructure
 welcome to gurgaon!",
1371,best wishes for huge success in future,
1372,gurgaon invites this equitable makes the coolest work environment in india.,
1374,a total delight for the employees,
1376,all fantasies work out as expected when join the,
1377,"having a office in gurgaon, where all major mnc are situated gives a clear message that snapdeal big company",
1379,rt you can win a mi4i and all you need is water! &amp; find out more!,
1380,the best online shopping place,
1383,love this  new office space. wow,
1384,isn't it a attractive place to work at,
1385,rt a son transforms his father's 25 year old offline business with snapdeal.,
1386,"take a look at th brand 
  is here....",
1387,entering the new world,
1388,rt if you want more than better then you need to register for meizu mx5 today!,
1389,a wonderful place to fulfill your dreams,
1390,such a well planned office now opened at gurgaon its really lucky for all shoppers,
1391,rt if yoga is what you're planning to do then you need to start,
1393,"yes, totally eye-candy and employee-friendly services too",
1394,becomin its own pr &amp; trending is weird..,
1395,rt rakhi is just around the corner and you need to get the perfect thread! check,
1396,its feel good to see snapdeal climbing mountains of sucess and the new delhi is just amazing,
1397,simply mindblowing is the word for the,
1399,"rt    
i really want to know where to apply to work with them",
1401,rt    classy yet stylish decor,
1402,rt such a well planned office now opened at gurgaon its really lucky for all shoppers,
1403,every needs at one place.. amazing n mind-blowing what coud be better than the,
1405,all fantasies work out as expected when join the snapdeal,
1406,rt and is trending in india,
1407,really loved the new concept,
1409,an office infrastructure like that gives everyone a homely feeling,
1410,i've escalated your details to my team and i'll get this sorted. thanks! –avi,
1412,superb infrastructure &amp; stylish decor,
1414,i really wanna join this good-looking and most creative workplace,
1415,best place,
1416,checkout the new,
1418,place where everyone desire to work,
1419,transforming spaces. transforming lives.,
1421,e-commerce giant  has just started its new office in gurgaon  would be great to work for them.,
1422,rt    this new office is heaven for works ppl,
1423,attrition doesnt exist in a workplace like that,
1424,"a very happening place in the town! 
without any doubt",
1426,the office is just awesome,
1427,i would love to work at   pls schedule me interview,
1429,"guys check out   
it's awesomeness",
1430,"gym, spa, library all at one place...the awesomeness beyond limit ..loving d",
1432,everyone wants to be the part of any vacancies for all of us?,
1433,if you wish to work with pleasure..best would be to work with,
1434,wish to join there soon ;),
1435,"and joining the league of 'the best places to work' is snapdeal 
now, time to get back to our boring old work stations",
1436,"the best place to work in it 
looks wow",
1437,and i eagerly want to be the part of this awesome team,
1439,working at the is probably the coolest thing to do right now!,
1440,a wonderful way to kickstart a new journey,
1442,"india's largest online market place  's
is in gurgaon.
tweeps check out",
1443,"rt is the place to work at!
contemporary designing &amp; more",
1444,everyone wants to work in a lavish office like this,
1446,now i too wanna work for snapdeal,
1447,is the perfect workplace for any employee to work on !!,
1448,this is office you always wanted to work,
1450,undoubtedly this is a treat place to work,
1451,"the will surely make u say wowwww,",
1452,i really want to know where to apply to work with them,
1453,it's most happening work place for sure,
1454,stunning is the word for,
1455,all the aarrangement are amazing now thts we are calling it work with dil ke deal.,
1456,finally gurgaon is blessed wid awesomeness*,
1457,check out the its totally unique and,
1458,"who on the earth don't want to work with them,this is really cool",
1459,"gym, spa, library.. what else a person can expect all at one place!!",
1460,classy yet stylish decor,
1461,"in one word is ... awesome.
awesome for customer &amp; awesome for those who work there !!",
1462,the most amazing place to work in is definitely the,
1463,wow what coud be better than this.,
1464,"chk out this new beauty!
wow
 gurgaon",
1465,"superb infrastructure,great interiors awesome environment to work",
1466,rt great things accomplished with ease when you have a great team just like,
1490,crunchy fashion store on  visit -,
1491,new office... looks,
1493,"have their new office in delhi 
woah!",
1494,work environment like this keep you always on your toes,
1495,this new office is heaven for works ppl,
1496,this is the best place to work and best people to work with,
1497,"super infrastructure 
wid classy decors",
1498,great things accomplished with ease when you have a great team just like,
1500,wow...office space that is as classy as it gets!,
1501,favorited,
1502,rt lumiaindia lumia 535  buyback of rs. 5999. celebrate with your organic foods business on onedrive. …,
1503,rt lumia 535  buyback of rs. 5999. celebrate with your organic foods business on onedrive.,
1504,lumia 535  buyback of rs. 5999. celebrate with your organic foods business on onedrive.,
1506,finally uber promo code worth 800rs is out! uber800free,
1507,unite 2 a106 (8 gb) is selling cheaper at inr 5825 today …,
1508,wd 1 tb black desktop internal hard drive (wd1002faex) is selling cheaper at inr 6025 today …,
1510,"online for starts now, grab it get out of stock",
1511,uncharted 3 - drake's deception (standard edition) [essentials] is selling cheaper at inr 89…,
1512,"buy iws cotton printed double bedsheet(2 bedsheet, 4 pillow cover, multicolor) a…",
1513,"taking the patriotism of independence to a literal level,  excels with their campaign! -",
1514,get what checked?  has officially said it doesn't have any after sales service centers in india right now.,
1515,i'll forward this to the team and get this checked. shall share an update with you soon. thanks! mukti.,
1516,"guys, why would  sell any product that doesn't have after-sales service centers?",
1519,rt testing something awesome!,
1520,coursera collaborated...,
1521,"why top executives are leaving startups like flipkart, snapdeal, ola &amp; others",
1523,rt most indians shop across channels,
1524,"logitech k120 usb standard keyboard for rs.357(mrp.590)
seller bharatdeals
…",
1525,oek 8137 1.2 electric kettle is selling cheaper at inr 799 today …,
1526,ddr3 4 gb(1 x 4gb) pc ram (cmv4gx3m1a1600c11) is selling cheaper at inr 1709 today …,
1527,"buy iws cotton printed double bedsheet(2 bedsheet, 4 pillow cover, multicolor) at",
1528,"sold out, predictably!",
1530,sincere apologies for the delay in resolution. i'll get this checked and sorted on priority. mukti.,
1532,found shopping on snapdeal to be very good. some really cool offers to shop from.,
1533,meizu mx5 will be available only on  take a closer look,
1534,rt snapdeal is the best. got my product very quickly from snapdeal.,
1535,your welcome you also made my day....with your shooping,
1536,no response till now i guess u guys are sleeping until.now better avi you solve it,
1537,rt it is great shopping on snapdeal. fun time. shopping from the snapdeal mobile app was very good.,
1538,"snapdeal makes me happy!!! i can get practially every good brand here
good deal with large satisfaction",
1539,"rt flipkart, snapdeal, amazon, others dole out incentives to sellers",
1540,rt it is great shopping on snapdeal. fun time. great to shop from a wide variety of products on snapdeal.,
1541,rt it is great shopping on snapdeal. fun time. it is very convenient to shop here.,
1542,rt nikon india withdraws its consumer advisory against flipkart and snapdeal,
1543,thanks. you just made our day,
1545,snapdeal is the best. got my product very quickly from snapdeal.,
1546,it is great shopping on snapdeal. fun time. it is very convenient to shop here.,
1547,it is great shopping on snapdeal. fun time. great to shop from a wide variety of products on snapdeal.,
1549,it is great shopping on snapdeal. fun time. shopping from the snapdeal mobile app was very good.,
1550,"cool things, nice shopping on snapdeal. makes you smile. simply amazing to see great offers.",
1551,snapdeal is a nice website. i can get practially every good brand here.,
1552,rt is not everyone's cup of tea - why top executives are leaving startups,
1555,"meizu mx5 launched in india, available on snapdeal",
1556,"meizu mx5 launched in india, available on snapdeal - i4u news",
1557,"rt major  now has both boyanika and utkalika stores, seen yet?",
1558,"flipkart, snapdeal and ola have all seen exits of senior managers in recent months.  here's",
1559,usse snapdeal ka highest honour. deal ratna diya jaaye,
1560,snapdeal pe koi deal nikaalo,
1561,apologies for the delay. my team will connect with you and update you on this. thanks! mukti.,
1563,"rt met snapdeal, ibibo, shopclues founders and the inventor of email , dr  what an event! thanks",
1564,thanks have a great time shopping with us,
1566,"pantaloons, amazon, snapdeal, jabong and flipkart sale over....
nse bse sale started ..flat 20%",
1567,your feedback is valuable and helps us improve. i'll share your feedback with the team. thanks! mukti.,
1568,rt buying on snapdeal is a smart choice. one of best mobile shopping apps i have seen so far. great going!,
1569,if customer rating 4 i select that doesn't mean that with one person 4 star results you will show. wth with filter.,
1570,rt revamp your room today!,
1571,good morning,
1572,"rt jumping on the festive marketing bandwagon,  interprets freedom a tad differently -",
1573,"rt the number game 
ys making sense of flipkart’s and snapdeal’s valuations through their gmv vi…",
1575,rt  but i don't see any progress.no more step like previously.or you have changed policy of returning after wrong p…,
1576,but i don't see any progress.no more step like previously.or you have changed policy of returning after wrong product deliver,
1579,"jumping on the festive marketing bandwagon,  interprets freedom a tad differently -",
1581,rt thanks   for the awesome delivery time and best customer service. got my product very quickly from snapdeal.,
1583,thanks   for the awesome delivery time and best customer service. got my product very quickly from snapdeal.,
1584,i sincerely apologize for the inconvenience caused. i have noted your order details. i'll get this checked and sorted. mukti,
1585,snapdeal,
1586,order number 8006800497 still not delivered. expected delivery date missed by 2 days. very disappointed customer service.,
1588,ves harvest shop responsive theme  -&gt;,
1591,why top executives are leaving startups via,
1592,nikon india is withdrawing its consumer advisory against flipkart and snapdeal,
1593,glad to know that you are happy with our app,
1595,apologies for the inconvenience caused. i'll ensure my team will connect with you and sort this out. thanks! mukti.,
1596,buying on snapdeal is a smart choice. one of best mobile shopping apps i have seen so far. great going!,
1597,"rt and this now, nikon withdraws its advisory -",
1598,i did not receive any call.,
1599,adobe's rajiv mangla to take over as snapdeal’s cto - the economic times -,
1600,it is already shipped from our end. we are trying to get this delivered on priority. thanks! mukti.,
1602,rt  withdraws caution notice against  &amp;,
1603,rt snapdeal shopping in one word - simple amazing some really cool offers to shop from.,
1608,most indians shop across channels,
1609,thanks a ton!,
1610,".
.
.       hi
.              team

good morning",
1611,snapdeal shopping in one word - simple amazing some really cool offers to shop from.,
1612,rt snapdeal partners with odisha for brand names 'utkalia' and 'boyanika',
1613,replacement generated from ur end &amp;  suborder 10400712586. the estimated shipping date is 28th august. why so much delay?,
1615,"why top executives are leaving startups like flipkart, ola and snapdeal",
1616,best,
1617,rt arifhkhan with success of startup like aamaadmiparty n . vcs are shifting attention from flipkart snapdeal,
1618,with success of startup like  n . vcs are shifting attention from,
1620,r u selling lg g flex 2 for 30.5k on snapdeal?? thinking of buying one,
1621,"pantaloons, amazon, 
snapdeal, 
jabong and 
flipkart sale over....

nse bse sale started ..flat 20% off on all shares",
1624,rt why are top executives are leaving startups like ?  ht…,
1628,why are top executives are leaving startups like ?,
1631,"major  now has both boyanika and utkalika stores, seen yet?",
1633,rt snapdeal is adopting a 'string of pearls' product anand chandrasekaran,
1635,"rt  
doesn't matter now
poor service",
1636,rt two chinese phone launches in india today (the other being both using snapdeal as a channel,
1637,rt snapdeal makes me happy!!! got my product very quickly from snapdeal.,
1638,rt outflux of india's -,
1640,outflux of india's -,
1642,snapdeal makes me happy!!! got my product very quickly from snapdeal.,
1644,"doesn't matter now
poor service",
1645,rt get ready for exclusively on snapdeal! explore the meizu mx5,
1647,rt galaxy s4 gt i9500 16gb deep black is selling cheaper at inr 15999 to…,
1648,eta0u80ibeginu battery charger is selling cheaper at inr 138 today …,
1649,open sale on sept 02 flashsaletricks rt and …,
1650,9322sl01 octane analog watch  - for men is selling cheaper by 4% at inr 4600 today …,
1651,zotac nvidia gtx 660 synergy edition 2 gb ddr5 graphics card is selling cheaper at inr 12980…,
1652,download best 4 mre offers on,
1657,"your product is in transit. however, i have asked my team to get this delivered at the earliest. thanks! avi",
1658,rt the mx5 is finally here. but is it worth itbat rs 20k? meizu still doesn't have anybproper service centres in...,
1660,it depends on the area pin-code and the product  you want to buy. thanks! avi,
1661,"rt nikon withdraws caution notice against flipkart, snapdeal",
1662,rt galaxy s4 gt i9500 16gb deep black is selling cheaper at inr 15999 today,
1668,ipod nano 16 gb is selling cheaper at inr 10289 today,
1669,sghsfy-124 hesh 2.0 ac milan w mic headset is selling cheaper at inr 3749 toda…,
1670,"my pincode is 221301,how closed places i can select to recive my orders,may i recieve at \chmuha mahavir mandir\\?\""""",
1674,"nikon withdraws caution notice against flipkart, snapdeal",
1675,rt deskjet ink advantage 3545e all-in-one printer is selling cheaper at inr 5446 today,
1676,"rt advice on people management, when you taught at
 the cost of",
1677,rt meizu mx5 launched for rs 19999 on snapdeal,
1678,rt 127 cm (50) full hd led television is selling cheaper at inr 48165 today,
1682,meizu mx5 launched for rs 19999 on snapdeal,
1684,deskjet ink advantage 3545e all-in-one printer is selling cheaper at inr 5446 today,
1685,guys now please announce winners name hope to win this time with you,
1686,ebay sells portion of its stake in indian e-commerce site internet marketing news - e commerce,
1687,rt gibson les paul studio electric guitar - faded worn brown is selling cheaper at inr 60727 today,
1689,".
.
.
.
.
.when you announce winners name 
please notice my effort .
.
.
.
.
.
hoping to win team",
1690,"rt dear  &amp;  just bcz i do recharge frm ur site, doesn't mean u'll send me marketing sms on am http…",
1692,"rt i got  m1 note 45d ago &amp; ppl guffawed, not loling, r we li launched  with",
1693,laser barcode reader ls-202a (autosensing) with stand is selling cheaper at inr 2803 today,
1694,"i got  m1 note 45d ago &amp; ppl guffawed, not loling, r we li launched  with",
1696,"dear  &amp;  just bcz i do recharge frm ur site, doesn't mean u'll send me marketing sms on am",
1698,gibson les paul studio electric guitar - faded worn brown is selling cheaper at inr 60727 today,
1699,rt  - you guys are pretty good. love the huge range of products.,
1700,"rt cool things, nice shopping on snapdeal. makes you smile. i found shopping on snapdeal to be very simple and easy.",
1701,rt  - love to shop from your website! shopping here is very convenient. cool stuf!!!,
1702,rt i am a loyal and happy snapdeal shopper. i can get practially every good brand here.,
1703,strontium 64gb (class10) 566x nitro micro sd card uhs-1 is selling cheaper at inr 1629 today,
1704,"rt cool things, nice shopping on snapdeal. makes you smile. i was happy to get my product delivered very quickly.",
1705,"rt cool things, nice shopping on snapdeal. makes you smile. i was happy to get my product delivered ver…",
1706,"cool things, nice shopping on snapdeal. makes you smile. i was happy to get my product delivered very quickly.",
1707,i am a loyal and happy snapdeal shopper. i can get practially every good brand here.,
1708,- love to shop from your website! shopping here is very convenient. cool stuf!!!,
1709,"cool things, nice shopping on snapdeal. makes you smile. i found shopping on snapdeal to be very simple and easy.",
1712,tp-link 300 mbps high gain wireless usb adaptor (tl-wn822n) is selling cheaper at inr 1378 today,
1714,"rt i wish i could work here..
really cool !!
 at gurgaon",
1715,"e-commerce companies like snapdeal, shopclues lure it executives with rs 1.5-3 crore pay packages",
1719,"rt alibaba group holding ltd, softbank corp, and foxconn technology invest $500 million in snapdeal",
1720,rt it is great shopping on snapdeal. fun time. they have my favorite brands.,
1721,computer trg to boost business,
1722,wow iron man waala,
1723,computer training to boost d business,
1724,it is great shopping on snapdeal. fun time. they have my favorite brands.,
1725,"alibaba group holding ltd, softbank corp, and foxconn technology invest $500 million in snapdeal",
1727,rt alibaba invierte en snapdeal para conquistar el ecommerce en india. via,
1730,– court adjourns hearing on plea against nikon’s flipkart… … …,
1731,rt – court adjourns hearing on plea against nikon’s flipkart… …,
1733,rt desire 516 dual sim is selling cheaper by 2% at inr 8498 today,
1736,"rt pantaloons, amazon, snapdeal, jabong and flipkart sale over....
nse bse sale started ..
flat 20% off.. namo namo",
1738,desire 516 dual sim is selling cheaper by 2% at inr 8498 today,
1739,– court adjourns hearing on plea against nikon’s flipkart… …,
1741,– court adjourns hearing on plea against…,
1745,– court adjourns hearing on plea against nikon’s flipkart advisory notice – the……,
1747,hi114 dry iron is selling cheaper at inr 779 today,
1748,plantronics voyager legend bluetooth headset is selling cheaper at inr 3999 today …,
1750,– court adjourns hearing on plea against nikon’s flipkart advisory notice – the…,
1751,– court adjourns hearing on plea against nikon’s flipkart advisory notice – the… …,
1753,at best price ever offers here …,
1755,– court adjourns hearing on plea against nikon’s flipkart advisory notice…,
1758,– court adjourns hearing on plea against nikon’s flipkart advisory…,
1759,– court adjourns hearing on plea against nikon’s flipkart advisory no…,
1760,– court adjourns hearing on plea against nikon’s flipkart advisory n…,
1761,excellent opening for snapdeal process in a domestic bpo -,
1763,eos 1200d kit (ef s18-55 is ii) dslr camera is selling cheaper at inr 22800 today …,
1764,at best price ever offers here,
1766,– court adjourns hearing on plea against nikon’s flipkart advisory notice – ... …,
1767,– court adjourns hearing on plea against nikon’s flipkart advisory notice – the k... …,
1774,xperia m is selling cheaper at inr 1490 today,
1775,"rt meizu mx5 now available in india at rs 19,999 via snapdeal",
1778,the mx5 is finally here. but is it worth itbat rs 20k? meizu still doesn't have anybproper service centres in...,
1780,"meizu mx5 now available in india at rs 19,999 via snapdeal",
1781,"rt \why not try to rebuild the post office as a payment agency?\\""
1782""","rt nikon withdraws caution notice against flipkart, snapdeal"
1783,"rt  very poor service 
not delever on time
i wanna gift mobi…",
1785,rt anyone? would you use this to hire your next employee?,
1786,anyone? would you use this to hire your next employee?,
1788,rt below rs.20000,
1789,"very poor service 
not delever on time
i wanna gift mobi…",
1791,"\why not try to rebuild the post office as a payment agency?\\""
1792""","flipkart, snapdeal, amazon, others dole out incentives to sellers"
1793,"rt  very poor service 
not delever on time
i wanna gift mob…",
1796,"is this find dil ki deal or spoiled dil ki deal
…",
1797,"very poor service 
not delever on time
i wanna gift mobile to sis
rak…",
1798,rt at best price …,
1802,eluga i is selling cheaper at inr 7134 today,
1803,galaxy core 2 is selling cheaper at inr 6618 today,
1804,a7-30 3g tablet is selling cheaper at inr 7299 today,
1805,pgsfb grill is selling cheaper at inr 825 today,
1806,protos mini usb 2.0 usb bluetooth dongle is selling cheaper at inr 80 today …,
1807,at best price…,
1809,kawachi nylon hanging shoe rack is selling cheaper at inr 298 today,
1812,"rt  very poor service 
not delever on time
i wanna gift mobile to sis
rakhi spoiled
fa…",
1813,rt at best price,
1814,rt soundmagic es18s bs in-the-ear headset is selling cheaper at inr 748 today …,
1816,rt snapdeal shoppping is equal to smart shopping. i can get practially every good brand here.,
1817,snapdeal shoppping is equal to smart shopping. i can get practially every good brand here.,
1820,soundmagic es18s bs in-the-ear headset is selling cheaper at inr 748 today …,
1822,rt lumia 1520 is selling cheaper at inr 35999 today …,
1824,is this find dil ki deal or spoiled dil ki deal,
1825,"very poor service 
not delever on time
i wanna gift mobile to sis
rakhi spoiled
fa…",
1826,rt iphone 5c 8 gb blue is selling cheaper at inr 21989 today …,
1827,b2b hyperlocal shadowfax secures $300k from snapdeal’s founder and others via,
1828,snapdeal makes me happy!!! it has great offers.,
1831,id,
1832,micromax spark mobile,
1833,order id 7989721447,
1834,really sorry for this experience. request you to kindly share your order details with me and i’ll get this sorted.  ~avi,
1835,"very poor service 
not delever on time
i wanna gift mobile to sis
rakhi spoiled
fake email that attemted delievery
0 star service",
1837,"hc suggests nikon to withdraw flipkart, snapdeal from caution notice",
1838,rt iphone 5c 8 gb blue is selling cheaper at inr 21989 today,
1840,rt lumia 1520 is selling cheaper at inr 35999 today,
1842,"rt interesting. why top executives are leaving startups like flipkart, snapdeal, ola &amp; others - the economic times",
1843,\meizu mx5 makes its way to india,
1844,rt thank you for the overwhelming response for meizu mx5! next round of registrations to begin soon!,
1845,"rt why top executives are leaving startups like flipkart, snapdeal, ola &amp; others - economic times...",
1846,"rt meizu mx5 hace su manera a la india, ahora disponible exclusivamente vía minorista snapdeal htt…",
1847,"why top executives are leaving startups like flipkart, snapdeal, ola &amp; others - economic times...",
1849,meizu mx5 akilli telefon hindistan p -,
1852,lumia 1520 is selling cheaper at inr 35999 today,
1853,"meizu mx5 hace su manera a la india, ahora disponible exclusivamente vía minorista snapdeal",
1854,iphone 5c 8 gb blue is selling cheaper at inr 21989 today,
1856,ifb 8 kg. senator aqua sx front load washing machine is selling cheaper at inr 33441 today,
1857,ps3 dual shock 3 wireless controller (black) is selling cheaper by 1% at inr 1847 today,
1858,"rt memphis &lt;-discover reviews and compare prices from flipkart,amazon and snapdeal",
1859,"rt herrera &lt;-discover reviews and compare prices from flipkart,amazon and snapdeal",
1860,rt no power since last 3 hours. experiencing movement to  why did you leave delhi !!,
1863,testing something awesome!,
1865,no power since last 3 hours. experiencing movement to  why did you leave delhi !!,
1866,"herrera &lt;-discover reviews and compare prices from flipkart,amazon and snapdeal",
1867,"memphis &lt;-discover reviews and compare prices from flipkart,amazon and snapdeal",
1870,"&lt;-discover reviews and compare prices from flipkart,amazon and snapdeal",
1873,"wayne rooney &lt;-discover reviews and compare prices from flipkart,amazon and snapdeal",
1882,rt bitsian gang  snapdeal,
1898,"meizu mx5 with 5.5-inch display, meidatek helio x10 processor, 3gb ram and 20.7-megapixel r...",
1906,"meizu mx5 with 5.5-inch display, meidatek helio x10 processor, 3gb ram and 20.7-megapixel rear camera launched in...",
1907,"meizu mx5 with 5.5-inch display, meidatek helio x10 processor, 3gb ram and 20.7-megapixel…",
1908,"meizu has launched the company’s latest smartphone - meizu mx5 in india at a price tag of rs. 19,999. it comes in...",
1910,our team will connect with you by tomorrow morning &amp; will get this sorted. please bear with us in the interim. thanks! avi,
